date,kickoff_at,match_number,home_team,away_team,tournament,stage,group,city,country,venue,region_cluster,airport_code,neutral,home_is_placeholder,away_is_placeholder
2026-06-11,2026-06-11 15:00:00-06,1,Mexico,South Africa,FIFA World Cup,Group Stage,A,Mexico City,Mexico,Estadio Azteca,Central,MEX,False,False,False
2026-06-11,2026-06-11 22:00:00-06,2,South Korea,Winner UEFA Playoff D,FIFA World Cup,Group Stage,A,Guadalajara,Mexico,Estadio Akron,Central,GDL,True,False,True
2026-06-12,2026-06-12 15:00:00-04,3,Canada,Winner UEFA Playoff A,FIFA World Cup,Group Stage,B,Toronto,Canada,BMO Field,East,YYZ,False,False,True
2026-06-12,2026-06-12 21:00:00-07,4,United States,Paraguay,FIFA World Cup,Group Stage,D,Los Angeles,United States,SoFi Stadium,West,LAX,False,False,False
2026-06-13,2026-06-13 15:00:00-07,5,Qatar,Switzerland,FIFA World Cup,Group Stage,B,San Francisco Bay Area,United States,Levi's Stadium,West,SFO,True,False,False
2026-06-13,2026-06-13 18:00:00-04,6,Brazil,Morocco,FIFA World Cup,Group Stage,C,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-13,2026-06-13 21:00:00-04,7,Haiti,Scotland,FIFA World Cup,Group Stage,C,Boston,United States,Gillette Stadium,East,BOS,True,False,False
2026-06-14,2026-06-14 00:00:00-07,8,Australia,Winner UEFA Playoff C,FIFA World Cup,Group Stage,D,Vancouver,Canada,BC Place,West,YVR,True,False,True
2026-06-14,2026-06-14 13:00:00-05,9,Germany,Curaçao,FIFA World Cup,Group Stage,E,Houston,United States,NRG Stadium,Central,IAH,True,False,False
2026-06-14,2026-06-14 16:00:00-05,10,Netherlands,Japan,FIFA World Cup,Group Stage,F,Dallas,United States,AT&T Stadium,Central,DAL,True,False,False
2026-06-14,2026-06-14 19:00:00-04,11,Côte d'Ivoire,Ecuador,FIFA World Cup,Group Stage,E,Philadelphia,United States,Lincoln Financial Field,East,PHL,True,False,False
2026-06-14,2026-06-14 22:00:00-06,12,Winner UEFA Playoff B,Tunisia,FIFA World Cup,Group Stage,F,Monterrey,Mexico,Estadio BBVA,Central,MTY,True,True,False
